,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Burundi,1388.0,1703.0,1789.0,1929.0,2000.0,2308.0,2431.0,2630.0,2859.0,3010.0,3230.0,3530.0,3647.0,3501.0,3438.0,3232.0,3028.0,3092.0,3274.0,3363.0,3501.0,3640.0,3783.0,3954.0,4216.0,4542.0,4935.0,5241.0,5603.0,5861.0,5752.0,6109.0,6386.0,7412.0,8020.0,8966.0,8764.0,8784.0,9143.0,9470.0
Cape Verde,231.0,274.0,299.0,340.0,366.0,410.0,430.0,460.0,505.0,554.0,579.0,606.0,639.0,702.0,767.0,841.0,914.0,1001.0,1097.0,1246.0,1367.0,1484.0,1586.0,1739.0,1875.0,2048.0,2303.0,2582.0,2808.0,2793.0,2804.0,2977.0,2940.0,2964.0,2979.0,3146.0,3358.0,3571.0,3822.0,4111.0
Cambodia,,,,,,,,4309.0,4889.0,5248.0,5503.0,6117.0,6699.0,7136.0,7884.0,8567.0,9195.0,9878.0,10486.0,11914.0,13254.0,14660.0,15865.0,17557.0,19906.0,23268.0,26567.0,30059.0,32700.0,33644.0,34739.0,37972.0,42401.0,45764.0,48654.0,52598.0,57942.0,62838.0,69193.0,75390.0
Cameroon,10371.0,13272.0,15162.0,16839.0,18739.0,20906.0,22776.0,22854.0,21794.0,22241.0,21643.0,21521.0,21340.0,21158.0,21069.0,22219.0,23736.0,25426.0,26960.0,28484.0,30348.0,32441.0,34260.0,36351.0,38734.0,40898.0,43513.0,46126.0,48387.0,49697.0,54553.0,57992.0,61350.0,66290.0,72250.0,75965.0,81471.0,87321.0,93050.0,98362.0
Canada,287254.0,325078.0,334192.0,356411.0,390928.0,422537.0,440375.0,470115.0,508124.0,540150.0,560993.0,567344.0,585401.0,615241.0,656571.0,688211.0,712061.0,755250.0,793080.0,846792.0,910945.0,948204.0,991740.0,1029745.0,1090714.0,1161847.0,1228964.0,1287691.0,1326085.0,1296744.0,1358781.0,1430807.0,1468095.0,1554123.0,1621397.0,1594899.0,1678387.0,1777242.0,1856559.0,1920997.0
Central African Republic,926.0,1144.0,1171.0,1144.0,1302.0,1394.0,1525.0,1563.0,1646.0,1802.0,1829.0,1903.0,1914.0,1961.0,2210.0,2352.0,2209.0,2419.0,2537.0,2672.0,2687.0,2759.0,2809.0,2669.0,2815.0,2977.0,3215.0,3453.0,3593.0,3682.0,4207.0,4475.0,4889.0,3285.0,3216.0,3536.0,3862.0,4195.0,4460.0,4675.0
Chad,1911.0,1864.0,2086.0,2507.0,2733.0,3043.0,3290.0,3497.0,3892.0,4122.0,4412.0,5033.0,5271.0,5284.0,5693.0,5767.0,5996.0,6444.0,6966.0,7025.0,7121.0,8133.0,8959.0,10483.0,14393.0,16091.0,16693.0,17697.0,18597.0,19514.0,21765.0,22246.0,22192.0,20808.0,23012.0,25683.0,24494.0,24028.0,25172.0,26379.0
Chile,38354.0,44540.0,40876.0,41299.0,45282.0,47651.0,51332.0,56106.0,62302.0,71589.0,76962.0,85659.0,97365.0,106381.0,114145.0,126831.0,137906.0,150631.0,160558.0,160659.0,173096.0,182906.0,191475.0,203310.0,223901.0,244387.0,267871.0,288570.0,304542.0,302085.0,323407.0,350366.0,374125.0,394277.0,404593.0,407637.0,413399.0,436994.0,465171.0,478771.0
China,305945.0,351572.0,406990.0,468745.0,559159.0,654954.0,727625.0,833501.0,960161.0,1039392.0,1119872.0,1263604.0,1477226.0,1722587.0,1989713.0,2254642.0,2523075.0,2802371.0,3053736.0,3336107.0,3698622.0,4096897.0,4538333.0,5091708.0,5760129.0,6617286.0,7686835.0,9011953.0,10070854.0,11080887.0,12287316.0,13735671.0,15137455.0,16277355.0,17200686.0,17880337.0,18701703.0,19814058.0,21659302.0,23393004.0
Colombia,78857.0,88184.0,94543.0,99822.0,106828.0,113672.0,122718.0,132607.0,142827.0,153447.0,165936.0,175526.0,187343.0,202751.0,217725.0,233829.0,242992.0,255630.0,259876.0,252761.0,266073.0,276703.0,287986.0,305238.0,330357.0,357035.0,392653.0,430917.0,454954.0,465980.0,485314.0,529874.0,553769.0,591783.0,625019.0,630400.0,672094.0,700091.0,734931.0,772440.0
