Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Malawi,7731.0,7585.0,7837.0,8449.0,9152.0,9755.0,10527.0,11845.0,13000.0,14189.0
Malaysia,300471.0,308909.0,330561.0,356668.0,391333.0,424023.0,461459.0,503578.0,538268.0,534146.0
Maldives,1416.0,1498.0,1614.0,2064.0,2399.0,2275.0,2812.0,3180.0,3654.0,3485.0
Mali,12718.0,15007.0,15711.0,17486.0,18247.0,20065.0,21645.0,22998.0,24568.0,25913.0
Malta,7820.0,8049.0,8410.0,8792.0,9078.0,9728.0,10214.0,10900.0,11482.0,11287.0
Marshall Islands,105.0,110.0,112.0,114.0,121.0,126.0,135.0,136.0,136.0,146.0
Mauritania,5908.0,6164.0,6300.0,6810.0,7400.0,8323.0,10197.0,10764.0,11093.0,11061.0
Mauritius,10501.0,11086.0,11439.0,12365.0,13252.0,13877.0,14949.0,16251.0,17483.0,18152.0
Mexico,1210609.0,1230702.0,1251244.0,1294349.0,1387073.0,1475117.0,1596486.0,1690566.0,1747866.0,1678360.0
Federated States of Micronesia,237.0,247.0,253.0,262.0,261.0,274.0,282.0,284.0,284.0,289.0
Moldova,6691.0,7263.0,7951.0,8647.0,9539.0,10584.0,11431.0,12087.0,13290.0,12589.0
Mongolia,9022.0,9656.0,10321.0,11301.0,12706.0,13969.0,15573.0,17387.0,19115.0,18861.0
Montenegro,4764.0,4927.0,5097.0,5329.0,5716.0,6148.0,6882.0,7821.0,8525.0,8100.0
Morocco,103647.0,113769.0,119122.0,128740.0,138625.0,147795.0,163875.0,174178.0,188114.0,197586.0
Mozambique,8043.0,9273.0,10243.0,11126.0,12325.0,13831.0,15661.0,17271.0,18821.0,20168.0
Myanmar,55586.0,63303.0,72004.0,83606.0,97558.0,114361.0,133288.0,153243.0,161874.0,171493.0
Namibia,9822.0,10286.0,11142.0,11759.0,12884.0,13919.0,14913.0,15868.0,16608.0,16784.0
Nauru,,,,,35.0,36.0,40.0,31.0,43.0,47.0
Nepal,28747.0,31057.0,31571.0,33471.0,36002.0,38453.0,40968.0,43493.0,47054.0,49560.0
Netherlands,529436.0,553024.0,562090.0,574931.0,602723.0,635528.0,678114.0,721885.0,748620.0,725847.0
New Zealand,84461.0,88314.0,94237.0,100502.0,107801.0,114109.0,120856.0,128985.0,130972.0,132439.0
Nicaragua,13845.0,14580.0,14916.0,15597.0,16877.0,18166.0,19501.0,21079.0,22105.0,21659.0
Niger,6288.0,6949.0,7432.0,8115.0,8270.0,9254.0,10092.0,10689.0,11950.0,11955.0
Nigeria,276448.0,301599.0,350952.0,391964.0,444798.0,491284.0,540439.0,595422.0,650809.0,710529.0
Norway,209236.0,218468.0,225011.0,231608.0,247399.0,262061.0,276583.0,292261.0,299140.0,296521.0
Oman,79033.0,84458.0,84811.0,84196.0,87628.0,92699.0,100681.0,107962.0,119107.0,127347.0
Pakistan,368908.0,384738.0,402801.0,430247.0,475158.0,534381.0,582849.0,631487.0,675991.0,683582.0
Palau,175.0,185.0,200.0,191.0,211.0,220.0,220.0,226.0,217.0,198.0
Panama,25390.0,26116.0,27112.0,28820.0,31836.0,35220.0,39402.0,45349.0,50220.0,51410.0
Papua New Guinea,10337.0,10568.0,10946.0,11654.0,12043.0,12918.0,13621.0,15203.0,16053.0,16649.0
Paraguay,33820.0,34273.0,34808.0,36986.0,39523.0,41623.0,44945.0,48654.0,52755.0,53020.0
Peru,132216.0,136063.0,145687.0,154782.0,166925.0,183123.0,202960.0,226109.0,251624.0,256195.0
Philippines,261127.0,274808.0,289199.0,309627.0,339449.0,367110.0,398229.0,435876.0,462883.0,471754.0
Poland,444998.0,460625.0,474448.0,501147.0,541373.0,578611.0,633322.0,696998.0,738532.0,763742.0
Portugal,210535.0,219518.0,224601.0,226940.0,237405.0,246922.0,258462.0,271951.0,277839.0,271611.0
Puerto Rico,93648.0,104850.0,108771.0,113537.0,118977.0,120364.0,122314.0,124109.0,124210.0,122710.0
Qatar,51481.0,54707.0,59536.0,62982.0,77152.0,85601.0,111321.0,134838.0,161767.0,182484.0
Romania,179706.0,194080.0,207275.0,223087.0,248381.0,267068.0,297449.0,326324.0,360870.0,337915.0
Russia,1635277.0,1757683.0,1869331.0,2046722.0,2253908.0,2474758.0,2758784.0,3073924.0,3298700.0,3063800.0
Rwanda,4997.0,5546.0,6373.0,6644.0,7335.0,8282.0,9323.0,10301.0,11675.0,12500.0
Samoa,543.0,596.0,640.0,687.0,727.0,801.0,843.0,869.0,918.0,869.0
San Marino,1645.0,1775.0,1808.0,1916.0,2059.0,2176.0,2329.0,2561.0,2654.0,2333.0
São Tomé and Príncipe,226.0,239.0,248.0,270.0,288.0,318.0,358.0,369.0,407.0,426.0
Saudi Arabia,708886.0,716263.0,706756.0,801887.0,889511.0,969304.0,1026947.0,1073747.0,1163233.0,1147931.0
Senegal,14942.0,15983.0,16335.0,17774.0,19335.0,21077.0,22261.0,23982.0,25353.0,26165.0
Serbia,46341.0,49764.0,54123.0,57640.0,64582.0,70353.0,76072.0,82695.0,88842.0,86727.0
Seychelles,1161.0,1160.0,1193.0,1145.0,1143.0,1286.0,1450.0,1643.0,1640.0,1634.0
Sierra Leone,2617.0,3162.0,4060.0,4527.0,4958.0,5348.0,5745.0,6373.0,6849.0,7121.0
Singapore,165055.0,167209.0,176926.0,188458.0,212131.0,235354.0,264080.0,295809.0,307003.0,307468.0
Slovakia,66384.0,70149.0,74448.0,80046.0,86573.0,95391.0,106633.0,121293.0,130635.0,124489.0
Slovenia,35739.0,37632.0,39675.0,41616.0,44621.0,47901.0,52165.0,57271.0,60321.0,56040.0
Solomon Islands,475.0,448.0,442.0,480.0,533.0,621.0,665.0,727.0,794.0,762.0
South Africa,345745.0,363298.0,382405.0,401532.0,431365.0,468739.0,510216.0,551870.0,580652.0,576062.0
South Sudan,,,,,,,,,,
Spain,975436.0,1037616.0,1083888.0,1140724.0,1209246.0,1294551.0,1390067.0,1480847.0,1526754.0,1483344.0
Sri Lanka,83032.0,83270.0,87699.0,94761.0,102668.0,112586.0,124944.0,136987.0,147985.0,154386.0
Saint Kitts and Nevis,764.0,826.0,855.0,825.0,872.0,974.0,1010.0,1052.0,1136.0,1134.0
Saint Lucia,1245.0,1225.0,1248.0,1332.0,1474.0,1514.0,1666.0,1728.0,1835.0,1842.0
Saint Vincent and the Grenadines,657.0,683.0,736.0,806.0,867.0,922.0,1007.0,1066.0,1081.0,1067.0
Sudan,67598.0,74650.0,80144.0,88473.0,96914.0,100459.0,112777.0,125613.0,131975.0,139202.0
Suriname,3632.0,3896.0,4105.0,4446.0,4901.0,5308.0,5787.0,6244.0,6630.0,6882.0
Eswatini,4831.0,5012.0,5271.0,5613.0,5982.0,6515.0,7063.0,7536.0,7898.0,8318.0
Sweden,259884.0,269962.0,279790.0,292178.0,313183.0,332369.0,358643.0,380723.0,386029.0,368794.0
Switzerland,277978.0,288424.0,293282.0,299367.0,315797.0,336032.0,360618.0,385476.0,401733.0,396217.0
Syria,71099.0,75396.0,81067.0,81000.0,88972.0,97542.0,105613.0,114576.0,122053.0,130251.0
Taiwan,480963.0,485727.0,520677.0,552941.0,605111.0,658405.0,716799.0,783829.0,804832.0,798240.0
Tajikistan,5925.0,6678.0,7397.0,8314.0,9449.0,10406.0,11476.0,12701.0,13973.0,14628.0
Tanzania,40151.0,43529.0,47247.0,51253.0,56460.0,62038.0,66924.0,74520.0,80212.0,85171.0
Thailand,458555.0,485159.0,522897.0,571666.0,624329.0,671402.0,726412.0,786273.0,815532.0,816049.0
Timor-Leste,1083.0,1134.0,1069.0,1091.0,2600.0,4097.0,6779.0,6931.0,7921.0,7451.0
Togo,5028.0,5076.0,5086.0,5442.0,5727.0,5986.0,6410.0,6717.0,7014.0,7315.0
Tonga,327.0,345.0,358.0,369.0,384.0,398.0,400.0,408.0,427.0,443.0
