,DE,Current,ROI,Revenue,Revenue,Revenue,EPS,EPS,EPS,BVPS,BVPS,BVPS,FCF,FCF,FCF
,D/E ratio,Current,Mean,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR,10Y CAGR,5Y CAGR,1Y CAGR
PFE,True,True,True,0.004925023466556766,0.00850250208816794,-0.035360784386824995,0.08842291989017026,0.15111499282151208,0.5430107526881721,0.007051339051732164,0.016381735679061205,-0.002538071065989911,-0.038272277142443634,-0.08101295734123393,-0.2446862531737396
INTC,True,True,True,0.07435553815572749,0.05193409524618065,0.01576614724480585,0.19854133976322785,0.15313933164796836,0.05133928571428559,0.07841683372054263,0.08548814765076207,0.0656121851200937,0.09788289795014538,0.10424298358516104,0.18812714897200197
CRM,True,True,False,0.2855967837584159,0.2668128928430382,0.2601518026565466,0.31858870966150765,,1.9183673469387756,0.3313225563812774,0.4385942041923614,0.9232167196728758,0.32465358521836474,0.3721002801760136,0.2717785843920144
ABT,True,True,False,0.003641987335903929,0.09520871440735412,0.043364510432337015,-0.05662560295604248,0.06693064751987632,0.5488721804511278,0.025211937155942055,0.04628584375629719,-0.015461071231363975,-0.03136494694502445,0.11603049299464407,-0.08316347329800244
ORCL,False,True,True,0.054436120314367516,0.006351207437108375,0.0031231749739735197,0.10543445059348856,0.04528784058682156,2.4941176470588244,-0.06342297565984623,-0.21258576871571203,-0.4176776429809359,0.05252686682342556,-0.021092999021627982,-0.05560439560439556
ABBV,False,False,True,0.08875064977902869,0.10756190406904498,0.01566268738741483,inf,0.36851085783726334,0.4426229508196722,,0.2386605001886877,-2.5575539568345325,0.09712408978370224,0.34174811142434924,-0.001329267339119533
CSCO,True,True,True,0.03692874990801154,0.019432711124207858,0.052179201297384965,0.09533034830164833,0.118641295973144,129.5,0.013458868259952128,-0.05282334020776192,0.1329113924050631,0.053287039937469416,0.05769944670621663,0.15925839733147162
TMO,True,True,False,0.09928261753537536,0.08623814631094118,0.04860826011987851,0.16390444779874547,0.14253545445219729,0.26657458563535896,0.07561188639738359,0.08978913914006492,0.09684469334790324,0.10736159739793916,0.12744633130684768,0.06466753585397655
AVGO,True,True,True,0.3129908164049333,0.3955484739131681,0.0838929393706831,,0.4538351195105448,-0.7739099859353025,0.26447685449554825,0.302239564115651,0.07921525078659998,0.6058822883563342,0.6494700447784565,0.1024280999528524
XOM,True,False,True,-0.015770817426889017,-0.08449173655880116,-0.08708805976320755,-0.016791508853275402,-0.15061392457612474,-0.3114754098360656,0.0387221501495516,0.005494836375650625,-0.06288903198111195,-0.010430836226074993,-0.1513343726524884,-0.6742700729927007
ACN,True,True,True,0.06431203727822797,0.06276407354777369,0.05420437635693909,0.11673158281525753,0.10242201129162763,0.1608832807570979,0.19226917451805334,0.21930463997005667,0.18326180257510735,0.07512173289624235,0.13717958917013928,0.11473693943596852
QCOM,True,True,True,0.08858747323275296,-0.017306379082981715,0.0735040467029322,0.1421866619690153,-0.050427127531898715,-2.058997050147493,-0.08419291103589144,-0.2358488715544298,0.2517482517482517,0.002864067149462634,-0.031427069082567434,-0.4641812865497076
COST,True,True,True,0.07895058838062186,0.06274968642577039,0.07859382946262072,0.12830966791047538,0.12177412653625065,0.1650211565585331,0.05334116540745226,0.11353162362005298,0.1957686882933709,0.1474064850622918,0.11020169576599814,0.19714795008912667
